project,year,code_klloc_sum,effective_klloc_sum,code_klloc_median,effective_klloc_median,code_klloc_mean,effective_klloc_mean,issues_created,issues_fixed
jena,2015,102315.489,100980.00600000001,293.22,290.126,293.1675902578797,289.3409914040115,141,26
jena,2016,18616.41,18409.172,295.32,292.218,295.49857142857144,292.20907936507933,100,6
jena,2017,39221.75800000002,38811.02700000002,303.872,300.4665,311.2837936507938,308.02402380952395,92,15
jspwiki,2009,26175.773,0.0,65.192,,64.95229032258065,,87,29
jspwiki,2010,8044.777,0.0,69.252,,69.35152586206897,,36,9
jspwiki,2011,1870.0450000000003,0.0,69.289,,69.26092592592593,,24,10
jspwiki,2012,7208.574999999999,0.0,60.658,,60.57626050420167,,22,13
jspwiki,2013,16226.380000000001,11723.372,42.232,42.214,47.03298550724638,41.86918571428571,16,15
jspwiki,2014,4187.496999999999,4187.496999999999,40.706,40.706,40.655310679611645,40.655310679611645,31,20
jspwiki,2015,5102.018000000001,5102.018000000001,41.143,41.143,41.14530645161291,41.14530645161291,32,20
