project,year,code_klloc,effective_klloc,issues_created,issues_fixed
santuario-java,2014,42.218286821705426,38.43428682170542,22,13
santuario-java,2015,43.399989473684215,39.615989473684216,18,10
santuario-java,2016,42.51999999999999,39.907345454545464,18,9
santuario-java,2017,40.47047142857144,40.47047142857144,12,4
storm,2015,70.01646666666667,70.01646666666667,312,3
storm,2016,160.5289761904762,160.38402380952382,411,6
storm,2017,197.43466666666666,196.67366666666666,312,1
streams,2013,0.5544705882352943,0.4608235294117647,3,1
streams,2014,11.186235294117647,10.774447058823526,84,0
streams,2015,24.602540540540538,24.160324324324325,33,8
streams,2016,25.770013698630134,25.672095890410958,19,14
streams,2017,27.527190476190476,27.527190476190476,16,12
struts,2007,33.73365837696335,21.304346858638745,479,166
struts,2008,36.89253225806452,20.68862096774194,356,129
struts,2009,49.09471906354514,48.98252508361204,275,69
struts,2010,101.41030534351145,100.63593129770993,129,28
struts,2011,103.39724888888888,103.10102666666667,115,71
struts,2012,105.07253879310343,101.40369827586207,127,75
struts,2013,106.11452733118972,105.8176495176849,178,85
struts,2014,107.60013636363634,107.24713636363639,112,0
struts,2015,101.30593548387098,100.94864516129029,78,2
struts,2016,104.32323148148147,104.29630555555558,90,17
struts,2017,104.99195488721804,105.01195488721805,89,22
systemml,2017,178.54130937215652,178.54130937215652,269,217
tez,2014,61.44793962848297,61.366504643962855,628,290
tez,2015,80.69749658002735,80.30860054719562,635,372
tez,2016,93.12637551020408,92.47703265306123,291,102
tez,2017,102.84533913043478,101.8256,214,71
tika,2008,5.381865030674846,5.381865030674846,13,8
tika,2009,9.531006134969326,9.50060736196319,69,51
tika,2010,14.731511560693642,14.731511560693642,103,56
tika,2011,23.948214132762313,23.550044967880083,142,92
tika,2012,30.40358860759494,30.106215189873424,127,63
tika,2013,34.03596240601503,33.98696240601503,103,41
tika,2014,37.455962871287134,37.40696287128713,141,67
tika,2015,47.030856548856555,46.98185654885655,154,74
tika,2016,53.12455555555557,53.075555555555574,224,7
tika,2017,71.471,71.422,150,2
wss4j,2005,20.92168508287293,,17,5
wss4j,2006,28.099815602836877,,27,9
wss4j,2007,18.660903846153847,13.33129411764706,17,4
wss4j,2008,21.431980198019804,14.378356435643566,36,40
